ts,ihd03A,ihd05A,ihd07A,ithdA
1588750884519,92.09,77.38,60.92,166.36
1588750884540,91.88,77.34,60.83,165.55
1588750884560,91.66,77.36,60.77,165.2
1588750884580,91.55,77.36,60.77,165.1
1588750884600,91.39,77.31,60.91,165.2
1588750884620,91.24,77.27,60.98,165.37
1588750884641,91.13,77.25,61.0,165.65
1588750884662,91.0,77.2,61.08,165.93
1588750884683,90.88,77.26,61.07,166.22
1588750884704,90.7,77.39,61.14,166.42
1588750884728,90.5,77.5,61.13,166.56
1588750884749,90.32,77.58,61.09,166.63
1588750884770,90.14,77.61,61.07,166.48
1588750884791,89.93,77.56,61.05,166.33
1588750884812,89.85,77.53,61.0,166.17
1588750884833,89.77,77.43,60.94,165.92
1588750884853,89.77,77.24,60.88,165.68
1588750884873,89.87,77.14,60.87,165.61
1588750884893,89.94,77.08,60.93,165.62
1588750884913,90.1,77.05,61.01,165.75
1588750884933,90.28,77.0,61.14,165.93
1588750884953,90.47,77.03,61.2,165.97
1588750884976,90.65,77.0,61.32,165.82
1588750884997,90.77,77.06,61.34,165.64
1588750885019,90.88,77.15,61.35,165.54
1588750885039,91.0,77.28,61.37,165.75
1588750885059,91.09,77.36,61.43,166.47
1588750885079,91.22,77.49,61.47,167.08
1588750885099,91.29,77.74,61.61,168.28
1588750885120,91.28,77.83,61.64,168.99
1588750885141,91.26,77.89,61.48,169.67
1588750885162,91.18,77.95,61.38,169.59
1588750885183,91.19,77.93,61.21,169.0
1588750885206,91.28,78.05,61.17,168.57
1588750885229,91.47,78.22,61.26,168.47
1588750885249,91.69,78.39,61.44,168.61
1588750885269,91.99,78.65,61.77,169.29
1588750885290,92.19,78.81,61.98,169.89
1588750885311,92.25,78.85,62.12,170.51
1588750885332,92.24,78.82,62.07,170.67
1588750885352,92.14,78.67,61.87,170.43
1588750885372,92.03,78.45,61.59,169.9
1588750885393,91.8,78.21,61.29,169.18
1588750885414,91.58,77.98,61.02,168.35
1588750885435,91.44,77.74,60.76,167.66
1588750885456,91.35,77.61,60.57,167.21
1588750885478,91.29,77.5,60.45,166.8
1588750885499,91.25,77.4,60.27,166.14
1588750885520,91.21,77.31,60.11,165.8
1588750885540,91.22,77.23,60.02,165.69
1588750885560,91.14,77.07,59.82,165.78
1588750885581,91.14,77.0,59.64,165.78
1588750885602,91.1,76.91,59.49,165.68
1588750885622,91.18,76.9,59.35,165.53
1588750885643,91.25,76.91,59.28,165.47
1588750885663,91.33,77.02,59.21,165.5
1588750885684,91.42,77.01,59.19,165.6
1588750885704,91.43,76.92,59.19,165.65
1588750885727,91.43,76.83,59.18,165.68
1588750885747,91.34,76.7,59.13,165.47
1588750885769,91.28,76.66,59.07,165.32
1588750885789,91.09,76.65,58.93,165.24
1588750885809,90.94,76.66,58.8,165.21
1588750885829,90.84,76.63,58.69,165.23
1588750885849,90.8,76.63,58.6,165.36
1588750885870,90.85,76.61,58.6,165.83
1588750885891,90.89,76.7,58.71,166.28
1588750885912,91.05,76.86,58.94,166.99
1588750885933,91.2,76.96,59.25,167.59
1588750885953,91.28,77.01,59.55,167.89
1588750885977,91.36,77.12,59.84,168.2
1588750885998,91.33,77.26,60.14,168.37
1588750886019,91.3,77.39,60.4,168.58
1588750886040,91.21,77.43,60.56,168.59
1588750886061,91.14,77.49,60.76,168.58
1588750886082,91.08,77.52,60.85,168.55
1588750886103,91.04,77.51,61.03,168.31
1588750886123,91.03,77.54,61.23,168.39
1588750886143,91.15,77.72,61.55,169.0
1588750886163,91.3,77.86,61.89,170.05
1588750886186,91.62,78.07,62.33,171.51
1588750886207,91.95,78.38,62.89,173.12
1588750886229,92.14,78.58,63.25,174.43
1588750886249,92.36,78.81,63.66,175.51
1588750886269,92.5,78.92,63.85,175.74
1588750886289,92.59,79.04,63.97,175.71
1588750886309,92.66,79.27,64.13,175.48
1588750886329,92.63,79.4,64.11,175.24
1588750886349,92.52,79.47,64.14,174.71
1588750886369,92.23,79.51,64.08,173.6
1588750886390,92.01,79.57,63.99,172.72
1588750886411,91.76,79.54,63.87,172.3
1588750886432,91.6,79.35,63.6,172.02
1588750886453,91.21,78.94,62.97,171.07
1588750886473,90.92,78.45,62.42,169.79
1588750886493,90.77,78.19,62.0,168.96
1588750886514,90.58,77.51,61.15,166.98
1588750886537,90.54,77.15,60.73,165.88
1588750886558,90.63,76.8,60.33,164.97
1588750886578,90.79,76.7,60.14,164.57
1588750886599,90.93,76.6,59.97,164.05
1588750886619,91.06,76.61,59.89,163.84
1588750886639,91.16,76.54,59.81,163.74
1588750886659,91.22,76.5,59.8,163.84
1588750886679,91.24,76.51,59.8,164.06
1588750886699,91.37,76.62,59.84,164.54
1588750886720,91.53,76.74,59.8,165.01
1588750886741,91.6,76.89,59.73,165.29
1588750886762,91.6,76.96,59.7,165.49
1588750886783,91.6,77.09,59.5,165.92
1588750886807,91.51,77.06,59.35,166.16
1588750886828,91.42,76.98,59.23,166.0
1588750886848,91.41,76.85,59.18,165.75
1588750886868,91.44,76.74,59.13,165.56
1588750886889,91.51,76.71,59.1,165.54
1588750886909,91.46,76.65,59.03,165.43
1588750886930,91.35,76.63,58.94,165.42
1588750886951,91.14,76.59,58.96,165.33
1588750886972,91.03,76.65,59.04,165.33
1588750886993,91.05,76.8,59.3,165.81
1588750887014,91.24,76.93,59.57,166.71
1588750887035,91.43,77.09,59.83,168.08
1588750887055,91.53,77.19,60.11,169.37
1588750887079,91.54,77.19,60.31,170.43
1588750887099,91.48,77.29,60.55,171.52
1588750887119,91.48,77.35,60.82,172.24
1588750887139,91.59,77.44,61.06,172.71
1588750887159,91.75,77.5,61.45,173.21
1588750887179,91.84,77.53,61.62,173.37
1588750887199,91.93,77.6,61.85,173.29
1588750887219,91.88,77.51,61.85,172.86
1588750887239,91.78,77.5,61.77,172.02
1588750887259,91.52,77.37,61.62,170.76
1588750887279,91.32,77.29,61.46,170.04
1588750887299,91.08,77.15,61.29,169.02
1588750887319,90.88,77.1,61.19,168.33
1588750887339,90.83,76.93,61.06,167.35
1588750887359,90.87,76.94,61.12,166.98
1588750887379,90.89,76.92,61.21,166.7
1588750887399,91.0,77.0,61.32,166.89
1588750887419,91.05,77.04,61.42,167.19
1588750887439,91.23,77.08,61.47,167.35
1588750887460,91.34,77.12,61.45,167.31
1588750887481,91.45,77.1,61.36,167.01
1588750887501,91.54,77.06,61.15,166.43
1588750887522,91.6,77.01,60.96,165.7
1588750887543,91.55,76.83,60.68,164.93
1588750887564,91.56,76.63,60.46,164.4
1588750887585,91.57,76.51,60.3,163.87
1588750887607,91.6,76.45,60.25,163.61
1588750887629,91.73,76.43,60.33,163.78
1588750887649,91.82,76.47,60.59,164.38
1588750887671,91.98,76.49,60.91,165.53
1588750887691,92.11,76.58,61.07,166.75
1588750887711,92.19,76.59,61.2,167.67
1588750887732,92.13,76.53,61.15,168.02
1588750887753,91.92,76.39,60.92,167.86
