ts,ihd03A,ihd05A,ihd07A,ithdA
1588748845504,88.78,72.91,52.87,137.81
1588748845524,89.04,73.07,52.92,138.12
1588748845546,89.3,73.23,52.98,138.52
1588748845566,89.49,73.33,52.99,138.8
1588748845586,89.41,73.35,53.03,138.71
1588748845606,89.28,73.25,53.12,138.56
1588748845626,88.91,73.08,53.16,138.27
1588748845646,88.52,72.9,53.18,137.82
1588748845666,88.28,72.84,53.25,137.48
1588748845686,88.0,72.84,53.36,137.31
1588748845706,87.9,72.99,53.43,137.28
1588748845726,87.83,73.08,53.53,137.31
1588748845746,87.78,73.42,53.76,137.48
1588748845766,87.8,73.6,53.83,137.73
1588748845786,87.98,73.67,53.88,137.96
1588748845806,88.01,73.54,53.82,138.01
1588748845827,88.1,73.46,53.74,137.93
1588748845847,88.23,73.26,53.55,137.87
1588748845867,88.39,73.26,53.3,137.79
1588748845887,88.58,73.11,53.06,137.74
1588748845907,88.68,73.04,52.74,137.6
1588748845927,88.68,72.87,52.57,137.52
1588748845947,88.68,72.79,52.41,137.43
1588748845967,88.68,72.71,52.41,137.43
1588748845987,88.93,72.71,52.32,137.6
1588748846007,89.14,72.76,52.3,137.71
1588748846027,89.35,72.81,52.36,137.82
1588748846047,89.47,72.93,52.33,137.9
1588748846067,89.68,73.07,52.48,138.09
1588748846087,89.81,73.21,52.53,138.28
1588748846107,89.9,73.14,52.66,138.25
1588748846127,89.88,73.13,52.73,138.22
1588748846147,89.92,73.08,52.85,138.28
1588748846167,89.95,73.0,52.99,138.45
1588748846187,89.94,72.9,53.11,138.57
1588748846207,89.79,72.83,53.21,138.59
1588748846227,89.69,72.73,53.36,138.57
1588748846247,89.6,72.73,53.53,138.65
1588748846267,89.57,72.7,53.67,138.59
1588748846287,89.51,72.65,53.72,138.5
1588748846307,89.47,72.62,53.62,138.36
1588748846327,89.3,72.63,53.48,138.14
1588748846347,89.18,72.68,53.37,138.08
1588748846367,89.16,72.75,53.28,138.05
1588748846387,89.12,72.72,53.16,137.99
1588748846407,88.99,72.76,53.14,137.91
1588748846427,88.97,72.74,53.05,137.88
1588748846447,89.09,72.94,53.15,138.02
1588748846467,89.26,73.18,53.21,138.25
1588748846487,89.47,73.45,53.28,138.53
1588748846507,89.74,73.69,53.32,138.9
1588748846527,89.98,73.9,53.41,139.13
1588748846547,90.22,74.1,53.56,139.59
1588748846567,90.31,74.32,53.66,139.94
1588748846587,90.3,74.38,53.79,140.14
1588748846607,90.25,74.5,53.8,140.2
1588748846627,90.15,74.48,53.79,140.17
1588748846647,90.09,74.58,53.8,140.12
1588748846667,90.0,74.66,53.8,140.2
